@RELATION emlak_test

@ATTRIBUTE il {Canakkale,bilinmiyor}
@ATTRIBUTE ilce {Bozcaada,Gelibolu,Gokceada,Merkez,Yenice,bilinmiyor}
@ATTRIBUTE mahalle {Alaeddin_Mah.,Alaybey_Mh.,Barbaros_Mah.,Camiikebir_Mah.,Cevat_Pasa_Mh.,Cinarli_Mh.,Cumhuriyet_Mah.,Diger_Mahalle,Erenkoy_Koyu,Esenler_Mah.,Eski_Yenice_Mah.,Fatih_Mah.,Ismetpasa_Mh.,Karacaoren_Koyu,Kepez_Bld.,Kislalar_Mh.,Kurtulus_Mh.,Kuzulimani_Mh.,Sirinkoy_Koyu,Tepekoy_Koyu,Ugurlu_Koyu,Yazicizade_Mh.,Yeni_Mh.,Zeytinli_Koyu}
@ATTRIBUTE emlak_tipi {Satilik,bilinmiyor}
@ATTRIBUTE bina_yasi_raw {0_Oturuma_Hazir,0_Yapim_Asamasinda,1,11_15_arasi,16_20_arasi,2,21_25_arasi,26_30_arasi,3,31_ve_uzeri,4,5,6_10_arasi,bilinmiyor}
@ATTRIBUTE bulundugu_kat_raw {1,2,3,4,5,6,7,8,9,Bahce_Kati,Bilinmiyor,Cati_Kati,Giris_Kati,Mustakil,Villa_Tipi,Yuksek_Giris,Zemin_Kat,bilinmiyor}
@ATTRIBUTE isitma_raw {Dogalgaz_Sobasi,Elektrikli_Radyator,Isi_Pompasi,Kat_Kaloriferi,Klima,Kombi_Dogalgaz,Kombi_Elektrik,Merkezi,Merkezi_Pay_Olcer,Soba,Somine,Yerden_Isitma,Yok,bilinmiyor}
@ATTRIBUTE isitma_ana_sinif {Dogalgaz_Sobasi,Elektrikli_Radyator,Isi_Pompasi,Kat_Kaloriferi,Klima,Kombi_Dogalgaz,Kombi_Elektrik,Merkezi,Soba,Somine,Yerden_Isitma,Yok,bilinmiyor}
@ATTRIBUTE mutfak_raw {Acik_Amerikan,Bilinmiyor,Kapali,bilinmiyor}
@ATTRIBUTE metrekare_brut NUMERIC
@ATTRIBUTE metrekare_net NUMERIC
@ATTRIBUTE oda_sayisi NUMERIC
@ATTRIBUTE bina_yasi_numeric NUMERIC
@ATTRIBUTE bina_yasi_ordinal NUMERIC
@ATTRIBUTE bulundugu_kat_no NUMERIC
@ATTRIBUTE bulundugu_kat_ordinal NUMERIC
@ATTRIBUTE kat_sayisi NUMERIC
@ATTRIBUTE isitma_score NUMERIC
@ATTRIBUTE banyo_sayisi NUMERIC
@ATTRIBUTE mutfak_acik_mi NUMERIC
@ATTRIBUTE balkon {yok,var}
@ATTRIBUTE asansor {yok,var}
@ATTRIBUTE otopark {yok,var}
@ATTRIBUTE esyali {yok,var}
@ATTRIBUTE guvenlik_skoru NUMERIC
@ATTRIBUTE luks_skoru NUMERIC
@ATTRIBUTE sosyal_skoru NUMERIC
@ATTRIBUTE lokasyon_skoru NUMERIC
@ATTRIBUTE fiyat_kategorisi {100_250_Milyon_TL_Arasi,10_15_Milyon_TL_Arasi,15_25_Milyon_TL_Arasi,1_1_Bucuk_Milyon_TL_Arasi,1_Bucuk_2_Milyon_TL_Arasi,25_50_Milyon_TL_Arasi,2_3_Milyon_TL_Arasi,3_4_Milyon_TL_Arasi,4_5_Milyon_TL_Arasi,50_100_Milyon_TL_Arasi,5_7_Bucuk_Milyon_TL_Arasi,7_Bucuk_10_Milyon_TL_Arasi}

@DATA
Canakkale,Merkez,Cevat_Pasa_Mh.,Satilik,31_ve_uzeri,Yuksek_Giris,Kombi_Dogalgaz,Kombi_Dogalgaz,Acik_Amerikan,120.0,100.0,4.0,30.0,1.0,0.0,4.0,5.0,5.0,1.0,1.0,var,yok,var,yok,0.0,0.0,0.0,0.0,7_Bucuk_10_Milyon_TL_Arasi
Canakkale,Gelibolu,Camiikebir_Mah.,Satilik,21_25_arasi,3,Kombi_Dogalgaz,Kombi_Dogalgaz,Kapali,85.0,76.0,3.0,21.0,2.0,3.0,5.0,3.0,5.0,1.0,0.0,var,yok,var,yok,0.0,0.0,1.0,0.0,2_3_Milyon_TL_Arasi
Canakkale,Gokceada,Kuzulimani_Mh.,Satilik,bilinmiyor,Bilinmiyor,Somine,Somine,Bilinmiyor,120.0,100.0,3.0,20.0,2.0,0.0,0.0,1.0,2.0,1.0,0.0,var,yok,yok,yok,0.0,0.0,0.0,1.0,15_25_Milyon_TL_Arasi
Canakkale,Gokceada,Diger_Mahalle,Satilik,31_ve_uzeri,Bilinmiyor,Soba,Soba,Kapali,260.0,240.0,9.0,30.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,var,yok,yok,yok,0.0,0.0,0.0,0.0,10_15_Milyon_TL_Arasi
Canakkale,Merkez,Kepez_Bld.,Satilik,6_10_arasi,3,Kombi_Dogalgaz,Kombi_Dogalgaz,Kapali,75.0,70.0,2.0,8.0,3.0,3.0,5.0,5.0,5.0,1.0,0.0,var,var,var,yok,0.0,0.0,0.0,0.0,4_5_Milyon_TL_Arasi
Canakkale,Merkez,Barbaros_Mah.,Satilik,6_10_arasi,Yuksek_Giris,Kombi_Dogalgaz,Kombi_Dogalgaz,Kapali,85.0,78.0,2.0,8.0,3.0,0.0,4.0,4.0,5.0,1.0,0.0,var,var,var,yok,0.0,0.0,0.0,0.0,3_4_Milyon_TL_Arasi
Canakkale,Merkez,Esenler_Mah.,Satilik,26_30_arasi,1,Kombi_Dogalgaz,Kombi_Dogalgaz,Kapali,115.0,100.0,4.0,30.0,1.0,1.0,5.0,6.0,5.0,2.0,0.0,var,var,var,yok,0.0,0.0,0.0,0.0,4_5_Milyon_TL_Arasi
Canakkale,Gelibolu,Yazicizade_Mh.,Satilik,31_ve_uzeri,2,Soba,Soba,Kapali,115.0,105.0,3.0,30.0,1.0,2.0,5.0,4.0,1.0,1.0,0.0,var,yok,yok,yok,0.0,0.0,0.0,0.0,1_Bucuk_2_Milyon_TL_Arasi
Canakkale,Bozcaada,Cumhuriyet_Mah.,Satilik,16_20_arasi,Mustakil,Yok,Yok,Acik_Amerikan,120.0,100.0,5.0,16.0,2.0,1.0,5.0,1.0,1.0,2.0,1.0,var,yok,yok,var,0.0,2.0,4.0,2.0,25_50_Milyon_TL_Arasi
Canakkale,Yenice,Eski_Yenice_Mah.,Satilik,0_Oturuma_Hazir,1,Kombi_Dogalgaz,Kombi_Dogalgaz,Acik_Amerikan,45.0,40.0,2.0,0.0,0.0,1.0,5.0,3.0,5.0,1.0,1.0,var,var,var,yok,0.0,0.0,0.0,0.0,2_3_Milyon_TL_Arasi
Canakkale,Merkez,Barbaros_Mah.,Satilik,6_10_arasi,1,Kombi_Dogalgaz,Kombi_Dogalgaz,Kapali,120.0,95.0,3.0,8.0,3.0,1.0,5.0,4.0,5.0,1.0,0.0,var,var,var,yok,0.0,0.0,3.0,3.0,10_15_Milyon_TL_Arasi
Canakkale,Merkez,Diger_Mahalle,Satilik,31_ve_uzeri,1,Kombi_Dogalgaz,Kombi_Dogalgaz,Acik_Amerikan,125.0,115.0,4.0,30.0,1.0,1.0,5.0,3.0,5.0,2.0,1.0,var,yok,var,yok,0.0,0.0,0.0,0.0,4_5_Milyon_TL_Arasi
Canakkale,Gokceada,Yeni_Mh.,Satilik,0_Oturuma_Hazir,1,Yerden_Isitma,Yerden_Isitma,Acik_Amerikan,160.0,120.0,4.0,0.0,0.0,1.0,5.0,4.0,5.0,2.0,1.0,var,yok,var,yok,2.0,3.0,4.0,1.0,7_Bucuk_10_Milyon_TL_Arasi
Canakkale,Gokceada,Cumhuriyet_Mah.,Satilik,6_10_arasi,Yuksek_Giris,Merkezi,Merkezi,Acik_Amerikan,55.0,47.0,2.0,8.0,3.0,0.0,4.0,2.0,4.0,1.0,1.0,var,yok,var,var,0.0,0.0,4.0,0.0,3_4_Milyon_TL_Arasi
Canakkale,Gokceada,Diger_Mahalle,Satilik,31_ve_uzeri,Bilinmiyor,Yok,Yok,Acik_Amerikan,1.0,35.0,2.0,30.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,yok,yok,yok,yok,0.0,0.0,0.0,0.0,7_Bucuk_10_Milyon_TL_Arasi
Canakkale,Gokceada,Cinarli_Mh.,Satilik,31_ve_uzeri,Bilinmiyor,Soba,Soba,Kapali,50.0,45.0,3.0,30.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,yok,yok,yok,yok,0.0,0.0,0.0,0.0,7_Bucuk_10_Milyon_TL_Arasi
Canakkale,Gokceada,Zeytinli_Koyu,Satilik,3,Mustakil,Klima,Klima,Kapali,160.0,150.0,6.0,3.0,4.0,1.0,5.0,1.0,3.0,6.0,0.0,var,yok,yok,var,0.0,0.0,0.0,0.0,15_25_Milyon_TL_Arasi
Canakkale,Merkez,Kepez_Bld.,Satilik,4,2,Kombi_Dogalgaz,Kombi_Dogalgaz,Acik_Amerikan,60.0,50.0,2.0,4.0,4.0,2.0,5.0,5.0,5.0,1.0,1.0,var,var,var,var,0.0,1.0,0.0,0.0,4_5_Milyon_TL_Arasi
